1963,Comedy	7.90
1963,Crime	8.40
1963,Drama	8.07
1963,History	8.20
1963,Horror	7.70
1963,Mystery	8.00
1963,Romance	7.90
1964,Action	7.85
1964,Adventure	7.70
1964,Comedy	7.93
1964,Drama	7.83
1964,Family	7.80
1964,Fantasy	7.80
1964,History	7.70
1964,Music	7.60
1964,Musical	7.70
1964,Thriller	7.70
1964,War	7.70
1964,Western	8.00
1965,Biography	8.00
1965,Drama	7.90
1965,Family	8.00
1965,Horror	7.70
1965,Romance	8.00
1965,Thriller	7.70
1965,War	8.00
1965,Western	8.30
1966,Biography	7.90
1966,Drama	7.93
1966,History	7.90
1966,Mystery	7.60
1966,Thriller	7.85
1966,War	8.10
1966,Western	8.80
1967,Action	7.75
1967,Adventure	7.65
1967,Animation	7.60
1967,Biography	7.80
1967,Comedy	7.90
1967,Crime	7.98
1967,Drama	7.93
1967,Family	7.60
1967,Mystery	8.00
1967,Romance	7.85
1967,Thriller	7.80
1967,War	7.70
1968,Action	7.70
1968,Adventure	8.00
1968,Biography	7.90
1968,Comedy	7.70
1968,Drama	7.95
1968,History	7.90
1968,Horror	7.95
1968,Sci-Fi	8.15
1968,Thriller	7.90
1968,War	7.70
1968,Western	8.50
1969,Action	7.90
1969,Adventure	7.90
1969,Biography	8.00
1969,Crime	8.00
1969,Drama	7.90
1969,Western	7.90
1970,Adventure	7.60
1970,Biography	7.90
1970,Comedy	7.60
1970,Drama	7.95
1970,War	7.75
1971,Action	7.70
1971,Comedy	7.90
1971,Crime	7.90
1971,Drama	7.99
1971,Family	7.90
1971,Fantasy	7.80
1971,Musical	8.07
1971,Romance	7.95
1971,Sci-Fi	8.30
1971,Thriller	7.70
1971,War	7.60
1971,Western	7.60
1972,Action	7.90
1972,Adventure	7.80
1972,Biography	7.90
1972,Comedy	7.90
1972,Crime	9.20
1972,Drama	8.18
1972,Music	7.80
1972,Musical	7.80
1972,Mystery	8.05
1972,Sci-Fi	8.10
1972,Thriller	7.85
1973,Action	7.75
1973,Adventure	7.90
1973,Animation	7.80
1973,Biography	7.85
1973,Comedy	7.98
1973,Crime	7.88
1973,Drama	7.88
1973,Family	7.90
1973,Fantasy	7.90
1973,Horror	8.00
1973,Sci-Fi	7.80
1973,Thriller	7.80
1974,Action	7.70
1974,Comedy	7.85
1974,Crime	8.35
1974,Drama	8.30
1974,Mystery	7.95
1974,Thriller	7.87
1974,Western	7.70
1975,Action	8.20
1975,Adventure	8.06
1975,Biography	8.05
1975,Comedy	8.03
1975,Crime	8.00
1975,Drama	8.22
1975,Fantasy	8.20
1975,History	7.95
1975,Thriller	8.00
1975,War	7.75
1976,Biography	8.05
1976,Crime	8.30
1976,Drama	8.05
1976,History	8.05
1976,Sport	8.10
1976,Thriller	7.70
1976,Western	7.80
1977,Action	8.60
1977,Adventure	8.60
1977,Comedy	8.00
1977,Drama	7.60
1977,Fantasy	8.60
1977,Romance	8.00
1977,Sci-Fi	7.60
1978,Action	7.90
1978,Adventure	7.75
1978,Animation	7.60
1978,Biography	7.60
1978,Crime	7.60
1978,Drama	7.86
1978,Horror	7.80
1978,Music	8.20
1978,Romance	7.80
1978,Thriller	7.70
1978,War	8.10
1979,Action	7.60
1979,Adventure	7.65
1979,Animation	7.70
1979,Biography	7.60
1979,Comedy	7.90
1979,Crime	7.60
1979,Drama	8.03
1979,Family	7.65
1979,Horror	8.40
1979,Music	7.90
1979,Musical	7.90
1979,Mystery	8.40
1979,Romance	7.90
1979,Sci-Fi	8.30
1979,Thriller	7.60
1979,War	8.40
1980,Action	8.30
1980,Adventure	8.30
1980,Biography	8.15
1980,Comedy	7.80
1980,Drama	8.08
1980,Fantasy	8.70
1980,History	8.00
1980,Horror	8.40
1980,Sport	8.20
1980,War	8.00
1981,Action	8.00
1981,Adventure	8.10
1981,Drama	7.95
1981,Sci-Fi	7.60
1981,Thriller	8.30
1982,Action	7.83
1982,Adventure	7.83
1982,Biography	8.00
1982,Comedy	7.80
1982,Crime	7.80
1982,Drama	7.97
1982,Family	7.80
1982,Fantasy	8.10
1982,History	8.00
1982,Horror	8.10
1982,Music	8.10
1982,Mystery	8.10
1982,Sci-Fi	7.92
1982,Thriller	8.10
1983,Action	8.30
1983,Adventure	8.05
1983,Biography	7.80
1983,Comedy	7.80
1983,Crime	8.30
1983,Drama	8.05
