Drama	174288286
Adventure	83290779
Action	76388586
Crime	58796324
Comedy	52533570
Thriller	41106952
Sci-Fi	37268246
Mystery	29052873
Biography	27456942
Romance	25114143
Fantasy	22908406
Animation	21978630
Family	12514438
History	10944349
War	9906470
Horror	6971540
Sport	4875755
Music	4874859
Western	4589516
Film-Noir	1523519
Musical	1353431
